#-----------------------------------------------------------
# Vivado v2018.3 (64-bit)
# SW Build 2405991 on Thu Dec  6 23:38:27 MST 2018
# IP Build 2404404 on Fri Dec  7 01:43:56 MST 2018
# Start of session at: Mon Dec 15 22:56:22 2025
# Process ID: 33272
# Current directory: E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project
# Command line: vivado.exe -mode batch -source run.tcl
# Log file: E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/vivado.log
# Journal file: E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project\vivado.jou
#-----------------------------------------------------------
source run.tcl
# open_project "E:\\Code\\CPU_Design\\HFUT_2020_MIPS_CPU\\project\\project.xpr"
Scanning sources...
Finished scanning sources
# launch_simulation -simset sim_1
INFO: [Vivado 12-5682] Launching behavioral simulation in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
INFO: [SIM-utils-51] Simulation object is 'sim_1'
INFO: [SIM-utils-54] Inspecting design source files for 'mips_tb' in fileset 'sim_1'...
INFO: [USF-XSim-97] Finding global include files...
INFO: [USF-XSim-98] Fetching design files from 'sim_1'...
INFO: [USF-XSim-2] XSim::Compile design
INFO: [USF-XSim-61] Executing 'COMPILE and ANALYZE' step in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
"xvlog --incr --relax -prj mips_tb_vlog.prj"
INFO: [USF-XSim-69] 'compile' step finished in '1' seconds
INFO: [USF-XSim-3] XSim::Elaborate design
INFO: [USF-XSim-61] Executing 'ELABORATE' step in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
Vivado Simulator 2018.3
Copyright 1986-1999, 2001-2018 Xilinx, Inc. All Rights Reserved.
Running: D:/Xilinx/Vivado/2018.3/bin/unwrapped/win64.o/xelab.exe -wto e6f7202c585f498eb4e5ec9ab3b2b493 --incr --debug typical --relax --mt 2 -L xil_defaultlib -L unisims_ver -L unimacro_ver -L secureip --snapshot mips_tb_behav xil_defaultlib.mips_tb xil_defaultlib.glbl -log elaborate.log 
Using 2 slave threads.
Starting static elaboration
Completed static elaboration
INFO: [XSIM 43-4323] No Change in HDL. Linking previously generated obj files to create kernel
INFO: [USF-XSim-69] 'elaborate' step finished in '1' seconds
INFO: [USF-XSim-4] XSim::Simulate design
INFO: [USF-XSim-61] Executing 'SIMULATE' step in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
INFO: [USF-XSim-98] *** Running xsim
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= aaaaaffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001eb
@00003050: $ 2 <= aaaaafff
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 55555ffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001ec
@00003050: $ 2 <= 55555fff
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= aaaabffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001ed
@00003050: $ 2 <= aaaabfff
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 55557ffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001ee
@00003050: $ 2 <= 55557fff
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= aaaafffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001ef
@00003050: $ 2 <= aaaaffff
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 5555fffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001f0
@00003050: $ 2 <= 5555ffff
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= aaabfffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001f1
@00003050: $ 2 <= aaabffff
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 5557fffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001f2
@00003050: $ 2 <= 5557ffff
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= aaaffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001f3
@00003050: $ 2 <= aaafffff
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 555ffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001f4
@00003050: $ 2 <= 555fffff
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= aabffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001f5
@00003050: $ 2 <= aabfffff
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 557ffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001f6
@00003050: $ 2 <= 557fffff
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= aafffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001f7
@00003050: $ 2 <= aaffffff
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 55fffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001f8
@00003050: $ 2 <= 55ffffff
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= abfffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001f9
@00003050: $ 2 <= abffffff
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 57fffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001fa
@00003050: $ 2 <= 57ffffff
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= affffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001fb
@00003050: $ 2 <= afffffff
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 5ffffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001fc
@00003050: $ 2 <= 5fffffff
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= bffffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001fd
@00003050: $ 2 <= bfffffff
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 7ffffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001fe
@00003050: $ 2 <= 7fffffff
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffffffe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000001ff
@00003050: $ 2 <= ffffffff
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffffffe
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000200
@00003050: $ 2 <= fffffffe
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffffffc
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000201
@00003050: $ 2 <= fffffffc
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffffff8
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000202
@00003050: $ 2 <= fffffff8
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffffff0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000203
@00003050: $ 2 <= fffffff0
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffffffe0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000204
@00003050: $ 2 <= ffffffe0
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffffffc0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000205
@00003050: $ 2 <= ffffffc0
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffffff80
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000206
@00003050: $ 2 <= ffffff80
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffffff00
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000207
@00003050: $ 2 <= ffffff00
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffffe00
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000208
@00003050: $ 2 <= fffffe00
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffffc00
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000209
@00003050: $ 2 <= fffffc00
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffff800
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000020a
@00003050: $ 2 <= fffff800
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffff000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000020b
@00003050: $ 2 <= fffff000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffffe000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000020c
@00003050: $ 2 <= ffffe000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffffc000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000020d
@00003050: $ 2 <= ffffc000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffff8000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000020e
@00003050: $ 2 <= ffff8000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffff0000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000020f
@00003050: $ 2 <= ffff0000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffe0000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000210
@00003050: $ 2 <= fffe0000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffc0000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000211
@00003050: $ 2 <= fffc0000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fff80000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000212
@00003050: $ 2 <= fff80000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fff00000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000213
@00003050: $ 2 <= fff00000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffe00000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000214
@00003050: $ 2 <= ffe00000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffc00000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000215
@00003050: $ 2 <= ffc00000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ff800000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000216
@00003050: $ 2 <= ff800000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ff000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000217
@00003050: $ 2 <= ff000000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fe000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000218
@00003050: $ 2 <= fe000000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fc000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000219
@00003050: $ 2 <= fc000000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= f8000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000021a
@00003050: $ 2 <= f8000000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= f0000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000021b
@00003050: $ 2 <= f0000000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= e0000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000021c
@00003050: $ 2 <= e0000000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= c0000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000021d
@00003050: $ 2 <= c0000000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 80000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000021e
@00003050: $ 2 <= 80000000
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000000
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 0000021f
@00003050: $ 2 <= 00000001
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000002
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000220
@00003050: $ 2 <= 00000002
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000004
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000221
@00003050: $ 2 <= 00000004
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000008
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000222
@00003050: $ 2 <= 00000008
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000010
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000223
@00003050: $ 2 <= 00000010
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000020
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000224
@00003050: $ 2 <= 00000020
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000040
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000225
@00003050: $ 2 <= 00000040
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000080
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000226
@00003050: $ 2 <= 00000080
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000100
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000227
@00003050: $ 2 <= 00000100
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000200
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000228
@00003050: $ 2 <= 00000200
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000400
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000229
@00003050: $ 2 <= 00000400
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000800
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000022a
@00003050: $ 2 <= 00000800
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00001000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000022b
@00003050: $ 2 <= 00001000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00002000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000022c
@00003050: $ 2 <= 00002000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00004000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000022d
@00003050: $ 2 <= 00004000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00008000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000022e
@00003050: $ 2 <= 00008000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00010000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000022f
@00003050: $ 2 <= 00010000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00020000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000230
@00003050: $ 2 <= 00020000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00040000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000231
@00003050: $ 2 <= 00040000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00080000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000232
@00003050: $ 2 <= 00080000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00100000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000233
@00003050: $ 2 <= 00100000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00200000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000234
@00003050: $ 2 <= 00200000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00400000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000235
@00003050: $ 2 <= 00400000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00800000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000236
@00003050: $ 2 <= 00800000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 01000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000237
@00003050: $ 2 <= 01000000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 02000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000238
@00003050: $ 2 <= 02000000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 04000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000239
@00003050: $ 2 <= 04000000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 08000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000023a
@00003050: $ 2 <= 08000000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 10000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000023b
@00003050: $ 2 <= 10000000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 20000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000023c
@00003050: $ 2 <= 20000000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 40000000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000023d
@00003050: $ 2 <= 40000000
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 80000000
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 0000023e
@00003050: $ 2 <= 80000001
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000002
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 0000023f
@00003050: $ 2 <= 00000003
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000006
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000240
@00003050: $ 2 <= 00000006
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0000000c
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000241
@00003050: $ 2 <= 0000000c
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000018
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000242
@00003050: $ 2 <= 00000018
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000030
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000243
@00003050: $ 2 <= 00000030
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000060
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000244
@00003050: $ 2 <= 00000060
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 000000c0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000245
@00003050: $ 2 <= 000000c0
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000180
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000246
@00003050: $ 2 <= 00000180
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000300
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000247
@00003050: $ 2 <= 00000300
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000600
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000248
@00003050: $ 2 <= 00000600
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00000c00
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000249
@00003050: $ 2 <= 00000c00
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00001800
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000024a
@00003050: $ 2 <= 00001800
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00003000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000024b
@00003050: $ 2 <= 00003000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00006000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000024c
@00003050: $ 2 <= 00006000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0000c000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000024d
@00003050: $ 2 <= 0000c000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00018000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000024e
@00003050: $ 2 <= 00018000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00030000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000024f
@00003050: $ 2 <= 00030000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00060000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000250
@00003050: $ 2 <= 00060000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 000c0000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000251
@00003050: $ 2 <= 000c0000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00180000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000252
@00003050: $ 2 <= 00180000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00300000
@00003044: $ 3 <= 00000000
